food_name,gi_value,serving_size_g,available_carbs_g,gl_value,food_category,reference,study_details,usda_fdc_id,usda_food_name,match_score,calories_per_100g,protein_per_100g,fat_per_100g,fiber_per_100g,carbohydrates_per_100g,data_source
Pumpkin,75,80,4,3,Vegetables,Foster-Powell 2002,Tested in 10 subjects,1118185,PUMPKIN,1.0,33.0,0.83,0.0,2.5,8.33,USDA FoodData Central (Local Match)
Squash butternut,51,80,8,4,Vegetables,Atkinson 2021,Tested in humans,640084,"ORGANIC SQUASH SOUP, BUTTERNUT",0.787,29.0,0.41,0.82,0.8,5.31,USDA FoodData Central (Local Match)
Beets,64,80,7,5,Vegetables,Foster-Powell 2002,Tested in 10 subjects,1120539,ORGANIC BEETS,1.0,357.0,10.71,0.0,17.9,78.57,USDA FoodData Central (Local Match)
Parsnips,97,80,12,12,Vegetables,Foster-Powell 2002,Tested in 10 subjects,579494,ORGANIC PARSNIPS,1.0,75.0,1.19,0.3,0.0,17.91,USDA FoodData Central (Local Match)
Broccoli,10,80,4,0,Vegetables,Foster-Powell 2002,Tested in 10 subjects,486511,BROCCOLI,1.0,35.0,1.18,0.0,2.4,4.71,USDA FoodData Central (Local Match)
Cabbage,10,80,3,0,Vegetables,Foster-Powell 2002,Tested in 10 subjects,367673,RED CABBAGE,0.844,69.0,1.54,0.0,3.8,15.38,USDA FoodData Central (Local Match)
Cauliflower,15,80,3,0,Vegetables,Foster-Powell 2002,Tested in 10 subjects,1132424,CAULIFLOWER,1.0,29.0,1.18,0.0,2.4,4.71,USDA FoodData Central (Local Match)
Celery,15,80,1,0,Vegetables,Foster-Powell 2002,Tested in 10 subjects,447185,CELERY,1.0,14.0,0.0,0.0,1.8,3.64,USDA FoodData Central (Local Match)
Cucumber,15,80,2,0,Vegetables,Foster-Powell 2002,Tested in 10 subjects,534579,CUCUMBER DIP,0.86,83.0,3.33,5.0,0.0,6.67,USDA FoodData Central (Local Match)
Eggplant,15,80,3,0,Vegetables,Foster-Powell 2002,Tested in 10 subjects,450698,EGGPLANT,1.0,24.0,0.0,0.0,3.6,5.95,USDA FoodData Central (Local Match)
Green beans,15,80,4,1,Vegetables,Foster-Powell 2002,Tested in 10 subjects,1120874,GREEN BEANS,1.0,29.0,2.35,0.0,2.4,7.06,USDA FoodData Central (Local Match)
Lettuce,10,80,1,0,Vegetables,Foster-Powell 2002,Tested in 10 subjects,386015,JUST LETTUCE,0.816,12.0,1.18,0.0,1.2,3.53,USDA FoodData Central (Local Match)
Mushrooms,10,80,0,0,Vegetables,Foster-Powell 2002,Tested in 10 subjects,379462,MUSHROOMS,1.0,27.0,1.54,0.0,2.3,5.38,USDA FoodData Central (Local Match)
Onions,10,80,5,1,Vegetables,Foster-Powell 2002,Tested in 10 subjects,506198,FRESH ONIONS,1.0,30.0,0.68,0.0,2.0,7.43,USDA FoodData Central (Local Match)
Peppers bell,10,80,3,0,Vegetables,Foster-Powell 2002,Tested in 10 subjects,487765,BELL PEPPERS,0.708,18.0,1.18,0.0,1.2,4.71,USDA FoodData Central (Manually Verified)
Spinach,15,80,1,0,Vegetables,Foster-Powell 2002,Tested in 10 subjects,1107683,SPINACH,1.0,24.0,2.35,0.0,2.4,3.53,USDA FoodData Central (Local Match)
Tomato,15,80,3,0,Vegetables,Foster-Powell 2002,Tested in 10 subjects,475200,TOMATO,1.0,71.0,14.29,0.0,14.3,35.71,USDA FoodData Central (Local Match)
Zucchini,15,80,2,0,Vegetables,Foster-Powell 2002,Tested in 10 subjects,595040,ZUCCHINI,1.0,21.0,1.05,0.0,1.1,4.21,USDA FoodData Central (Local Match)
Milk whole,39,250,12,5,Dairy,Foster-Powell 2002,Tested in 10 subjects,493995,LOCAL MILK WHOLE,0.838,62.0,3.75,3.33,0.0,5.0,USDA FoodData Central (Local Match)
Milk skim,37,250,13,5,Dairy,Foster-Powell 2002,Tested in 10 subjects,484244,MILK RUSK,0.694,463.0,11.0,12.5,3.0,78.0,USDA FoodData Central (Local Match)
Milk 2%,46,250,12,6,Dairy,Atkinson 2021,Tested in humans,684918,2% MILK,0.7,50.0,3.33,2.08,0.0,5.0,USDA FoodData Central (Manually Verified)
Milk chocolate,43,250,26,11,Dairy,Foster-Powell 2002,Tested in 10 subjects,1109395,MILK CHOCOLATE,1.0,514.0,5.41,32.43,2.7,59.46,USDA FoodData Central (Local Match)
Yogurt plain low fat,33,200,17,6,Dairy,Foster-Powell 2002,Tested in 10 subjects,170886,"Yogurt, plain, low fat",0.817,63.0,5.25,1.55,0.0,7.04,USDA FoodData Central (Local Match)
Yogurt fruit,41,200,26,11,Dairy,Foster-Powell 2002,Tested in 10 subjects,373381,YOGURT WITH FRUIT,0.879,113.0,7.33,4.0,0.0,11.33,USDA FoodData Central (Local Match)
Ice cream vanilla,51,50,13,7,Dairy,Foster-Powell 2002,Tested in 10 subjects,600904,"ICE CREAM CUPS, VANILLA",0.895,204.0,2.04,10.2,0.0,22.45,USDA FoodData Central (Local Match)
Ice cream premium,38,50,14,5,Dairy,Foster-Powell 2002,Tested in 10 subjects,385710,ICE CREAM MIX,0.76,393.0,1.79,0.0,0.0,96.43,USDA FoodData Central (Manually Verified)
Ice cream chocolate,68,50,16,11,Dairy,Atkinson 2021,Tested in humans,526972,ICE CREAM BAR CHOCOLATE,0.933,313.0,4.82,21.69,4.8,28.92,USDA FoodData Central (Local Match)
Pudding,43,100,16,7,Dairy,Foster-Powell 2002,Tested in 10 subjects,356737,PUDDING,1.0,130.0,1.09,3.26,2.2,22.83,USDA FoodData Central (Local Match)
Custard,43,100,17,7,Dairy,Foster-Powell 2002,Tested in 10 subjects,358698,FROZEN CUSTARD,1.0,212.0,3.03,10.61,0.0,27.27,USDA FoodData Central (Local Match)
Soy milk,34,250,17,6,Dairy Alternatives,Foster-Powell 2002,Tested in 10 subjects,445883,SOY MILK,1.0,42.0,2.5,1.46,0.4,5.0,USDA FoodData Central (Local Match)
Rice milk,86,250,26,22,Dairy Alternatives,Foster-Powell 2002,Tested in 10 subjects,361541,RICE MIX,0.726,357.0,8.57,2.86,2.9,72.86,USDA FoodData Central (Local Match)
Chocolate dark,23,50,29,7,Snacks,Atkinson 2021,Tested in humans,453470,CHOCOLATE FLAKES DARK,0.86,420.0,5.33,16.0,6.7,66.67,USDA FoodData Central (Local Match)
Chocolate milk,40,50,29,12,Snacks,Foster-Powell 2002,Tested in 10 subjects,454756,CHOCOLATE MILK,1.0,88.0,3.33,3.33,0.0,10.42,USDA FoodData Central (Local Match)
Chocolate bar Mars,65,60,40,26,Snacks,Foster-Powell 2002,Tested in 10 subjects,395920,CHOCOLATE BAR,0.787,533.0,6.67,43.33,10.0,43.33,USDA FoodData Central (Manually Verified)
Chocolate bar Snickers,55,60,35,19,Snacks,Foster-Powell 2002,Tested in 10 subjects,574154,CHOCOLATE JAZZ BAR CAKE,0.729,376.0,4.71,17.65,1.2,50.59,USDA FoodData Central (Manually Verified)
Jelly beans,78,30,28,22,Snacks,Foster-Powell 2002,Tested in 10 subjects,1111050,JELLY BEANS,1.0,366.0,0.0,0.0,0.0,90.24,USDA FoodData Central (Local Match)
Life Savers,70,30,30,21,Snacks,Foster-Powell 2002,Tested in 10 subjects,505298,"LIFE SAVERS, MINTS, ORANGE",0.566,400.0,0.0,0.0,0.0,100.0,USDA FoodData Central (Local Match)
M&Ms peanut,33,30,17,6,Snacks,Foster-Powell 2002,Tested in 10 subjects,541525,"M&M'S, PEANUT",0.792,500.0,8.33,27.78,2.8,58.33,USDA FoodData Central (Manually Verified)
Popcorn plain,72,20,11,8,Snacks,Foster-Powell 2002,Tested in 10 subjects,556438,POPCORN PARTY TIN,0.71,536.0,3.57,25.0,3.6,78.57,USDA FoodData Central (Manually Verified)
Pretzels,83,30,20,16,Snacks,Foster-Powell 2002,Tested in 10 subjects,1113622,PRETZELS,1.0,393.0,10.71,3.57,3.6,82.14,USDA FoodData Central (Local Match)
Corn chips,63,50,26,17,Snacks,Foster-Powell 2002,Tested in 10 subjects,359663,CORN CHIPS,1.0,571.0,3.57,35.71,3.6,57.14,USDA FoodData Central (Local Match)
Rice crackers,91,25,20,18,Snacks,Atkinson 2021,Tested in humans,173161,Rice crackers,1.0,416.0,10.0,5.0,0.0,82.64,USDA FoodData Central (Local Match)
Honey,55,25,21,12,Sugars,Foster-Powell 2002,Tested in 10 subjects,1108100,HONEY,1.0,286.0,0.0,0.0,0.0,80.95,USDA FoodData Central (Local Match)
Fructose,15,10,10,2,Sugars,Foster-Powell 2002,Tested in 10 subjects,562959,DRINK MIX WITH FRUCTOSE,0.661,389.0,0.0,0.0,0.0,94.44,USDA FoodData Central (Local Match)
Glucose,103,10,10,10,Sugars,Foster-Powell 2002,Tested in 10 subjects,519049,GLUCOSE GEL,0.844,182.0,0.0,0.0,0.0,45.45,USDA FoodData Central (Local Match)
Sucrose table sugar,65,10,10,7,Sugars,Foster-Powell 2002,Tested in 10 subjects,402292,PURE MAPLE SUGAR,0.62,360.0,0.0,0.0,0.0,100.0,USDA FoodData Central (Local Match)
Lactose,46,10,10,5,Sugars,Foster-Powell 2002,Tested in 10 subjects,455919,LACTOSE FREE MILK,0.708,38.0,3.33,0.0,0.0,5.42,USDA FoodData Central (Local Match)
Maltose,105,10,10,11,Sugars,Foster-Powell 2002,Tested in 10 subjects,395148,MALTOSE,1.0,400.0,10.0,0.0,40.0,90.0,USDA FoodData Central (Local Match)
Maple syrup,54,25,17,9,Sugars,Atkinson 2021,Tested in humans,412935,MAPLE SYRUP,1.0,350.0,0.0,0.0,0.0,88.33,USDA FoodData Central (Local Match)
Coca-Cola,58,250,26,15,Beverages,Foster-Powell 2002,Tested in 10 subjects,645610,"COCA-COLA WITH CHERRY FLAVOR, CHERRY",0.58,45.0,0.0,0.0,0.0,11.71,USDA FoodData Central (Manually Verified)
Fanta orange,68,250,34,23,Beverages,Foster-Powell 2002,Tested in 10 subjects,539786,"FANTA, SODA, ORANGE",0.692,29.0,0.0,0.0,0.0,6.9,USDA FoodData Central (Manually Verified)
Apple juice,40,250,29,12,Beverages,Foster-Powell 2002,Tested in 10 subjects,1114854,APPLE JUICE,1.0,30.0,0.0,0.0,0.0,7.63,USDA FoodData Central (Local Match)
Orange juice,50,250,26,13,Beverages,Foster-Powell 2002,Tested in 10 subjects,1111092,ORANGE JUICE,1.0,46.0,0.83,0.0,0.0,11.25,USDA FoodData Central (Local Match)
Gatorade,78,250,15,12,Beverages,Foster-Powell 2002,Tested in 10 subjects,503963,G2 THIRST QUENCHER GATORADE,0.62,8.0,0.0,0.0,0.0,2.0,USDA FoodData Central (Manually Verified)
Pizza cheese,60,100,27,16,Mixed Meals,Foster-Powell 2002,Tested in 10 subjects,493019,PIZZA CHEESE,1.0,236.0,9.76,9.76,1.6,26.83,USDA FoodData Central (Local Match)
Hamburger,61,100,28,17,Mixed Meals,Foster-Powell 2002,Tested in 10 subjects,380485,HAMBURGER,1.0,186.0,9.3,2.33,9.3,44.19,USDA FoodData Central (Local Match)
Sushi,52,100,37,19,Mixed Meals,Foster-Powell 2002,Tested in 10 subjects,386286,SUSHI,1.0,0.0,0.0,0.0,0.0,3.57,USDA FoodData Central (Local Match)
Fish sticks,38,100,19,7,Mixed Meals,Foster-Powell 2002,Tested in 10 subjects,1109558,FISH STICKS,1.0,217.0,9.43,9.43,0.9,24.53,USDA FoodData Central (Local Match)
Chicken nuggets,46,100,16,7,Mixed Meals,Foster-Powell 2002,Tested in 10 subjects,357731,CHICKEN NUGGETS,1.0,190.0,15.48,8.33,0.6,16.67,USDA FoodData Central (Local Match)
Tofu,15,100,2,0,Protein Foods,Foster-Powell 2002,Tested in 10 subjects,388749,TOFU,1.0,49.0,4.4,2.2,0.0,1.1,USDA FoodData Central (Local Match)
